extended_right_major,extended_right_major_description,extended_right_name,extended_right_name_description,object_guid
Attributes,Lists attributes and their guids,ACS-Time-Of-Day,Times of day at which this policy applies.,7f561279-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Total-No-Of-Flows,The total number of flows that a given user may have.,7f561280-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,Additional-Information,Free text for notes on object.,6d05fb41-246b-11d0-a9c8-00aa006c33ed
Attributes,Lists attributes and their guids,Additional-Trusted-Service-Names,A list of services in the domain that can be trusted. Not used by AD.,032160be-9824-11d1-aec0-0000f80367c1
Attributes,Lists attributes and their guids,Address,The user's address.,f0f8ff84-1191-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Address-Book-Roots,Used by Exchange. Exchange configures trees of address book containers to show up in the MAPI address book. This attribute on the Exchange Config object lists the roots of the address book container trees.,f70b6e48-06f4-11d2-aa53-00c04fd7d83a
Attributes,Lists attributes and their guids,Address-Book-Roots2,Used by Exchange. Exchange configures trees of address book containers to show up in the MAPI address book. This attribute on the Exchange Config object lists the roots of the address book container trees.,508ca374-a511-4e4e-9f4f-856f61a6b7e4
Attributes,Lists attributes and their guids,Address-Entry-Display-Table,The display table for an address entry.,5fd42461-1262-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Address-Entry-Display-Table-MSDOS,The MAPI display table for an address entry for MSDOS client.,5fd42462-1262-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Address-Home,A user's home address.,16775781-47f3-11d1-a9c3-0000f80367c1
Attributes,Lists attributes and their guids,Address-Syntax,A grammar for encoding the display table properties as a string.,5fd42463-1262-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Address-Type,A character string that describes the format of the user's address. Address types map to address formats. That is; by looking at a recipient's address type; client applications can determine how to format an address that is appropriate for the recipient.,5fd42464-1262-11d0-a060-00aa006c33ed
Attributes,Lists attributes and their guids,Admin-Context-Menu,The order number and GUID of the context menu to be used on administration screens.,553fd038-f32e-11d0-b0bc-00c04fd8dca6
Attributes,Lists attributes and their guids,Admin-Count,Indicates that a given object has had its ACLs changed to a more secure value by the system because it was a member of one of the administrative groups (directly or transitively).,bf967918-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Admin-Description,The description displayed on admin screens.,bf967919-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Admin-Display-Name,The name to be displayed on admin screens.,bf96791a-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Admin-Multiselect-Property-Pages,This is a multivalued attribute whose values are a number that represents the order in which the pages are added and a GUID of a COM object that implements multi-select property pages for the AD Users and Computers snap-in.,18f9b67d-5ac6-4b3b-97db-d0a406afb7ba
